                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8273,                 4.0069,                  4.274,                 0.0032,                0.25683,                0.00514,                0.00225,                  3.718,                 4.2348,                  4.159,             0.00013336,             0.00013336,             0.00013336
                      2,                  3.682,                 3.8788,                 4.2407,                0.00356,                0.24044,                0.00679,                0.00231,                 3.7148,                 4.2425,                 4.1586,             0.00027404,             0.00027404,             0.00027404
                      3,                 3.7726,                 3.8333,                 4.1823,                 0.0032,                0.24044,                0.00573,                0.00203,                 3.7132,                 4.2521,                 4.1593,             0.00040481,             0.00040481,             0.00040481
                      4,                 3.6976,                 3.7321,                  4.159,                0.00392,                0.24863,                0.00669,                0.00166,                 3.7156,                 4.2653,                 4.1617,             0.00052569,             0.00052569,             0.00052569
                      5,                 3.5788,                 3.7175,                 4.0895,                0.00305,                0.24044,                0.00936,                0.00212,                 3.7163,                 4.2627,                 4.1627,             0.00063666,             0.00063666,             0.00063666
                      6,                 3.4923,                 3.5511,                 3.9972,                0.00341,                0.28962,                0.00635,                0.00159,                 3.7459,                  4.317,                 4.1965,             0.00073773,             0.00073773,             0.00073773
                      7,                  3.342,                 3.5948,                 3.9279,                0.00311,                0.27322,                0.00633,                0.00168,                 3.7974,                 4.3938,                 4.2451,              0.0008289,              0.0008289,              0.0008289
                      8,                 3.5319,                  3.822,                 3.8695,                0.00351,                0.29599,                 0.0073,                0.00265,                 3.8211,                 4.4178,                 4.2782,             0.00091017,             0.00091017,             0.00091017
                      9,                 3.4118,                 3.4983,                 3.7528,                0.00449,                0.24044,                0.01298,                 0.0024,                 3.9801,                 4.7904,                 4.4409,             0.00098153,             0.00098153,             0.00098153
                     10,                 3.4286,                 3.6212,                  3.735,                0.00648,                 0.2878,                0.01276,                0.00485,                 4.0133,                 5.0611,                 4.7598,               0.001043,               0.001043,               0.001043
                     11,                 3.4442,                 3.4928,                 3.7143,                0.02134,                 0.2796,                0.01798,                0.00493,                 4.0456,                 4.9965,                 5.0996,              0.0010946,              0.0010946,              0.0010946
                     12,                 3.1414,                 3.5857,                 3.6106,                0.00633,                0.23224,                 0.0078,                0.00243,                 3.9896,                 5.0003,                 4.5541,              0.0010619,              0.0010619,              0.0010619
                     13,                    3.3,                 3.5016,                 3.5444,                0.00256,                0.25046,                0.01005,                0.00198,                 3.7674,                 4.2473,                 4.1323,              0.0010619,              0.0010619,              0.0010619
                     14,                 3.2341,                 3.4345,                 3.5073,                0.00267,                 0.1867,                0.01277,                0.00346,                 3.9043,                 4.5952,                 4.3941,              0.0010069,              0.0010069,              0.0010069
                     15,                 3.1828,                 3.4664,                  3.485,                0.00242,                 0.1949,                0.00335,                 0.0011,                 3.6705,                 4.3097,                 4.1079,             0.00095186,             0.00095186,             0.00095186
                     16,                 3.2122,                 3.4596,                 3.4722,                0.50291,                0.02459,                0.00312,                0.00105,                 3.3236,                  4.001,                 3.7109,             0.00089685,             0.00089685,             0.00089685
                     17,                 3.1876,                 3.4724,                 3.4045,                0.00295,                0.23588,                 0.0031,                0.00096,                 3.4309,                 4.0274,                 3.8093,             0.00084184,             0.00084184,             0.00084184
                     18,                 3.2425,                 3.5147,                 3.4205,                0.00349,                0.30783,                0.00434,                0.00154,                  3.261,                 3.8592,                 3.6678,             0.00078682,             0.00078682,             0.00078682
                     19,                 3.1372,                 3.4377,                 3.4056,                0.00337,                0.28506,                0.00512,                0.00169,                 2.9661,                 3.7503,                 3.4078,             0.00073181,             0.00073181,             0.00073181
                     20,                 3.2019,                 3.6614,                 3.4041,                0.00266,                0.20492,                0.00466,                0.00149,                 2.8874,                 3.9177,                 3.3232,              0.0006768,              0.0006768,              0.0006768
                     21,                 3.1745,                 3.9495,                  3.276,                0.00321,                0.16393,                0.00605,                0.00198,                 2.8712,                 3.9134,                 3.2765,             0.00062179,             0.00062179,             0.00062179
                     22,                 2.9998,                 3.8675,                 3.2498,                0.00333,                0.12295,                0.01453,                0.00464,                 2.9029,                 3.8983,                 3.2534,             0.00056678,             0.00056678,             0.00056678
                     23,                 3.0079,                 3.7857,                 3.2917,                0.00321,                0.11475,                0.00786,                0.00264,                 2.8735,                 3.8761,                 3.2538,             0.00051177,             0.00051177,             0.00051177
                     24,                 3.0682,                  3.851,                 3.1976,                0.00295,                0.10656,                0.00741,                 0.0018,                 2.8477,                 3.8585,                 3.2234,             0.00045676,             0.00045676,             0.00045676
                     25,                 2.9918,                 3.8204,                 3.2116,                 0.0029,                0.10656,                0.00379,                0.00152,                 2.8867,                 3.8925,                 3.2035,             0.00040175,             0.00040175,             0.00040175
                     26,                 2.9033,                 3.5115,                 3.1543,                0.50532,                0.08197,                0.00326,                0.00135,                 2.9182,                 4.0609,                 3.2049,             0.00034674,             0.00034674,             0.00034674
                     27,                 2.9377,                 3.7505,                 3.2058,                0.00411,                0.17213,                0.00435,                0.00158,                 2.9023,                 4.0677,                 3.1957,             0.00029172,             0.00029172,             0.00029172
                     28,                 2.8949,                 3.5004,                 3.1456,                 0.0048,                0.19672,                0.00679,                0.00214,                 2.9017,                 3.8624,                 3.1834,             0.00023671,             0.00023671,             0.00023671
                     29,                 2.9853,                 3.9228,                 3.2435,                0.00739,                0.25228,                0.01045,                0.00297,                 2.8997,                 3.8316,                 3.1743,              0.0001817,              0.0001817,              0.0001817
                     30,                  2.935,                 3.4802,                 3.1323,                0.00697,                0.25228,                0.01198,                0.00302,                 2.9052,                 3.8459,                 3.1634,             0.00012669,             0.00012669,             0.00012669
