epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3366.27,0.95885,0.86441,1.08708,0.82226,0.7949,0.84865,0.67583,0.8265,0.64925,0.97665,2.94644e-05,2.94644e-05,2.94644e-05
40,3452.42,0.94581,0.82809,1.07314,0.82595,0.79471,0.84794,0.67723,0.82338,0.64472,0.97518,2.71082e-05,2.71082e-05,2.71082e-05
41,3536.62,0.96642,0.86963,1.08572,0.82055,0.79789,0.84687,0.67612,0.82546,0.64826,0.97474,2.4752e-05,2.4752e-05,2.4752e-05
42,3620.79,0.9617,0.89563,1.08523,0.81769,0.79757,0.84632,0.6713,0.82866,0.65144,0.97521,2.23958e-05,2.23958e-05,2.23958e-05
43,3705.47,0.93979,0.815,1.05136,0.80932,0.80151,0.84267,0.66967,0.83404,0.65442,0.97646,2.00396e-05,2.00396e-05,2.00396e-05
44,3790.24,0.95479,0.83677,1.04225,0.79936,0.80373,0.84135,0.66963,0.83904,0.65555,0.97792,1.76834e-05,1.76834e-05,1.76834e-05
45,3874.17,0.96127,0.85799,1.06156,0.79123,0.80381,0.84017,0.66819,0.84235,0.65903,0.97967,1.53272e-05,1.53272e-05,1.53272e-05
46,3958.4,0.89884,0.75604,1.04427,0.78916,0.80702,0.84035,0.66869,0.84257,0.66026,0.97982,1.2971e-05,1.2971e-05,1.2971e-05
47,4044.66,0.94839,0.7774,1.07506,0.79,0.80749,0.83928,0.66893,0.84168,0.66064,0.97905,1.06148e-05,1.06148e-05,1.06148e-05
48,4128.2,0.94209,0.77182,1.05348,0.79332,0.8093,0.83946,0.66885,0.84273,0.66259,0.97896,8.2586e-06,8.2586e-06,8.2586e-06
49,4211.9,0.90365,0.77336,1.0469,0.78569,0.8094,0.83911,0.66639,0.84283,0.66228,0.97861,5.9024e-06,5.9024e-06,5.9024e-06
50,4295.72,0.87926,0.76396,1.03588,0.78453,0.80631,0.83833,0.6676,0.84323,0.66398,0.97846,3.5462e-06,3.5462e-06,3.5462e-06
