                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7028,                    4.3,                 4.3824,                 0.0039,                0.24863,                0.00517,                0.00196,                 3.7175,                 4.2355,                 4.1591,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.5098,                 4.1204,                 4.2469,                0.00364,                0.24044,                0.00526,                0.00183,                 3.7173,                 4.2399,                 4.1599,             0.00025533,             0.00025533,             0.00025533
                      3,                 3.5401,                 4.0345,                 4.1937,                0.00342,                0.24044,                0.00645,                0.00198,                 3.7176,                 4.2496,                 4.1633,              0.0003476,              0.0003476,              0.0003476
                      4,                 3.4947,                 4.2061,                 4.1718,                0.00349,                0.24044,                0.00539,                0.00165,                  3.719,                 4.2598,                  4.168,             0.00041017,             0.00041017,             0.00041017
                      5,                 3.4245,                 3.8696,                 4.1128,                 0.0036,                0.24863,                0.00546,                0.00162,                   3.73,                 4.2679,                 4.1804,             0.00044302,             0.00044302,             0.00044302
                      6,                 3.3312,                 3.8185,                 4.0111,                0.00377,                0.30419,                 0.0046,                0.00155,                 3.7376,                 4.2741,                 4.1986,             0.00044617,             0.00044617,             0.00044617
                      7,                 3.3573,                 3.8221,                 3.9503,                0.00346,                0.29599,                0.00523,                 0.0015,                 3.7654,                 4.2876,                 4.2336,             0.00041962,             0.00041962,             0.00041962
                      8,                 3.3057,                 3.7637,                 3.9238,                0.00356,                0.29599,                0.00495,                0.00135,                 3.7855,                 4.3053,                 4.2579,             0.00036336,             0.00036336,             0.00036336
                      9,                 3.2498,                 3.6584,                 3.8503,                0.00351,                0.29599,                0.00583,                0.00157,                 3.8012,                 4.3195,                 4.2781,             0.00027739,             0.00027739,             0.00027739
                     10,                 3.1648,                 3.6057,                  3.775,                0.00351,                0.29599,                0.00619,                0.00161,                 3.8081,                 4.3331,                 4.2889,             0.00016172,             0.00016172,             0.00016172
